variant_type,variant_size,window_radius,recall,precision,f1_score,tp,fp,fn,protein_affected_genes_count,protein_affected_driver_genes_count,protein_affected_genes,protein_affected_driver_genes
SNV,1,0,0.3333333333333333,0.5,0.4,1,1,2,2,1,ZSWIM7;PRDM16,PRDM16
INDEL,1 - 100,0,0.8333333333333334,1.0,0.9090909090909091,5,0,1,0,0,,
INS/DUP,1 - 100,0,1.0,1.0,1.0,3,0,0,0,0,,
DEL,1 - 100,0,0.6666666666666666,1.0,0.8,2,0,1,0,0,,
SV,ALL,100,0.0,0.0,0.0,0,0,13,0,0,,
TRA,TRA,100,0.0,0.0,0.0,0,0,3,0,0,,
INV,> 0,100,0.0,0.0,0.0,0,0,3,0,0,,
INV,1 - 100,100,0.0,0.0,0.0,0,0,0,0,0,,
INV,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
INV,> 500,100,0.0,0.0,0.0,0,0,3,0,0,,
DEL,> 100,100,0.0,0.0,0.0,0,0,4,0,0,,
DEL,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
DEL,> 500,100,0.0,0.0,0.0,0,0,4,0,0,,
DUP,> 100,100,0.0,0.0,0.0,0,0,3,0,0,,
DUP,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
DUP,> 500,100,0.0,0.0,0.0,0,0,3,0,0,,
