variant_type,variant_size,window_radius,recall,precision,f1_score,tp,fp,fn,protein_affected_genes_count,protein_affected_driver_genes_count,protein_affected_actionable_genes_count,protein_affected_genes,protein_affected_driver_genes,protein_affected_actionable_genes
SNV,1,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
INDEL,1 - 100,0,0.0,0.0,0.0,0,0,6,0,0,0,,,
INS/DUP,1 - 100,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
DEL,1 - 100,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
SV,ALL,100,0.5384615384615384,0.6363636363636364,0.5833333333333334,7,4,6,0,0,0,,,
TRA,TRA,100,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0,0,0,,,
INV,> 0,100,0.6666666666666666,0.5,0.5714285714285715,2,2,1,0,0,0,,,
INV,1 - 100,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
INV,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
INV,> 500,100,0.6666666666666666,0.5,0.5714285714285715,2,2,1,0,0,0,,,
DEL,> 100,100,0.75,1.0,0.8571428571428571,3,0,1,0,0,0,,,
DEL,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
DEL,> 500,100,0.75,1.0,0.8571428571428571,3,0,1,0,0,0,,,
DUP,> 100,100,0.3333333333333333,1.0,0.5,1,0,2,0,0,0,,,
DUP,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
DUP,> 500,100,0.3333333333333333,1.0,0.5,1,0,2,0,0,0,,,
